Hostname,Environment (Arch),Application/Purpose (Arch),OS (Arch),Treatment Plan/Project (Arch),Timeframe (Arch),Controls (Arch),Inherent Risk (Arch),Residual Risk (Arch),JSM Match?,JSM Status,JSM OS,JSM Environment,JSM Location,JSM Last Scan Date,BigFix Detected?,BigFix OS,SNOW Match Key,SNOW Detected?,SNOW OS,State #,State Label,Environment Tier,RAG,Notes / Exceptions,Notes (Arch)
NZAKLP1OUAFAPPRH1,Production,Oracle UAF (OUAF) Business and Web Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1OUAFAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1OUAFAPPRH2,Production,Oracle UAF (OUAF) Business and Web Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1OUAFAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1OUAFAPPRH3,Production,Oracle UAF (OUAF) Business and Web Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLP1OUAFAPPRH3,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLP1WEBUIRH01,Production,WEB UI,Red Hat Enterprise Linux 6.10,Will raise a request to decommission as it is no longer used,,Network Isolation,Medium,Medium,Y,Retired,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,29/May/25,N,,NZAKLP1WEBUIRH01,N,,1,Remediated,Critical,Green,,
NZAKLPROXYRH1,Production,Linux Proxy,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLPROXYRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLPROXYRH2,Production,Linux Proxy,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZAKLPROXYRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLSFTPRH01,Production,SFTP,Red Hat Enterprise Linux 6.10,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 9.7,Production,0,0,N,,NZAKLSFTPRH01,Y,Red Hat Enterprise Linux,2,Planned,Critical,Amber,,
NZAKLSFTPRH02,Production,SFTP,Red Hat Enterprise Linux 6.10,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Bluecurrent Wellington,17/May/26,N,,NZAKLSFTPRH02,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLSPLKAPPRH1,Production,Application Server - Splunk,Red Hat Enterprise Linux 6.10,"Digital Restructure (SRE / DevOps), Modern Data Platform, Helios, Simplify",FY28,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.27.1.el6.x86_64),NZAKLSPLKAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZAKLSPLKAPPRH2,Production,Splunk - Wellington,Red Hat Enterprise Linux 6.10,"Digital Restructure (SRE / DevOps), Modern Data Platform, Helios, Simplify",FY28,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.27.1.el6.x86_64),NZAKLSPLKAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZWLGNAGIOSRH1,Production,Management Server - Nagios Monitoring,Red Hat Enterprise Linux 6.10,Further Investigation Required,,Monitoring,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Production,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.49.1.el6.x86_64),NZWLGNAGIOSRH1,Y,Red Hat Enterprise Linux 6 Server,3,No Plan,Critical,Red,,Has been flagged with SRE to decommission. Ben Hasler reached out to Stephen T for update on the 29th July. Stephen T has rasied a ticket for investigation - SER-72586
NZWLGP1OEMRH1,Development,Monitor DBs using Oracle Enterprise Manager (OEM),Red Hat Enterprise Linux 6.10,Datacom to Upgrade under Managed Service,FY26 Q3,Network Isolation,High,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Development,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGP1OEMRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGPROXYRH1,Development/Test,Proxy,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,Critical,High,Y,In Service,Red Hat Enterprise Linux 6.10,Development/Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGPROXYRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGQ1ADMAPPRH1,Preproduction,ADM application,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,,Network Isolation,High,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1ADMAPPRH1,Y,Red Hat Enterprise Linux 6 Server,3,No Plan,Critical,Red,,Karl advised that server is related to Oracle MDM + Billing; Plan is to contain until those projects roll through then verify decomm status or long tail to remediate
NZWLGQ1BATAPPRH1,Preproduction,Oracle UAF (OUAF) Batch Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1BATAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZWLGQ1BATAPPRH2,Preproduction,Oracle UAF (OUAF) Batch Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1BATAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZWLGQ1BATAPPRH3,Preproduction,Oracle UAF (OUAF) Batch Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1BATAPPRH3,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZWLGQ1DBRH1,Preproduction,Oracle DB,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,17/May/26,N,,NZWLGQ1DBRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZWLGQ1DBRH2,Test,Oracle Database Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1DBRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGQ1ESBAPPRH1,Development,MuleSoft Application,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,High,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Development,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1ESBAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGQ1ESBAPPRH2,Development,MuleSoft Application,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,High,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Development,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1ESBAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGQ1FMWAPPRH1,Production,Framework application,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 6.10,Development,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1FMWAPPRH1,Y,Red Hat Enterprise Linux 6 Server,3,No Plan,Critical,Red,"Env mismatch: JSM says 'Development', Architecture says 'Production' - review",Karl advised that server is related to Oracle MDM + Billing; Plan is to contain until those projects roll through then verify decomm status or long tail to remediate
NZWLGQ1FMWAPPRH2,Preproduction,Framework application,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1FMWAPPRH2,Y,Red Hat Enterprise Linux 6 Server,3,No Plan,Critical,Red,,Karl advised that server is related to Oracle MDM + Billing; Plan is to contain until those projects roll through then verify decomm status or long tail to remediate
NZWLGQ1FMWAPPRH3,Preproduction,Framework application,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Bluecurrent Head Office,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1FMWAPPRH3,Y,Red Hat Enterprise Linux 6 Server,3,No Plan,Critical,Red,,Karl advised that server is related to Oracle MDM + Billing; Plan is to contain until those projects roll through then verify decomm status or long tail to remediate
NZWLGQ1LOADAPPRH1,Preproduction,Load balance,Red Hat Enterprise Linux 6.10,Further Investigation Required,,Monitoring,High,High,Y,Retired,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,29/May/25,N,,NZWLGQ1LOADAPPRH1,N,,1,Remediated,Critical,Green,,
NZWLGQ1LOADAPPRH2,Preproduction,Load balance,Red Hat Enterprise Linux 6.10,Further Investigation Required,,Monitoring,High,High,Y,Retired,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Wellington,29/May/25,N,,NZWLGQ1LOADAPPRH2,N,,1,Remediated,Critical,Green,,
NZWLGQ1MQAPPRH1,Development,MQ application,Red Hat Enterprise Linux 6.10,Integration Modernisation,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Development,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1MQAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGQ1OUAFAPPRH1,Preproduction,OUAF application,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1OUAFAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZWLGQ1OUAFAPPRH2,Preproduction,Oracle UAF (OUAF) Business and Web Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Datacom Data Centre Orbit,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1OUAFAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZWLGQ1OUAFAPPRH3,Preproduction,Oracle UAF (OUAF) Business and Web Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,PreProduction,Bluecurrent Head Office,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGQ1OUAFAPPRH3,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Critical,Amber,,
NZWLGSPLKAPPRH1,Development,Splunk - Wellington,Red Hat Enterprise Linux 6.10,"Digital Restructure (SRE / DevOps), Modern Data Platform, Helios, Simplify",FY28,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 6.10,Development,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGSPLKAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1ADMAPPRH1,Test,AMS Oracle T1 application stack member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1ADMAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1BATAPPRH1,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1BATAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1BATAPPRH2,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1BATAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1BATAPPRH3,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1BATAPPRH3,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1DBRH1,Test,Oracle Database Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1DBRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1DBRH2,Test,Oracle Database Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1DBRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1ESBAPPRH1,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1ESBAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1FMWAPPRH1,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1FMWAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1FMWAPPRH2,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1FMWAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1FMWAPPRH3,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1FMWAPPRH3,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1LOADAPPRH1,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,Retired,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,29/May/25,N,,NZWLGT1LOADAPPRH1,N,,1,Remediated,Lower,Green,,
NZWLGT1MQAPPRH1,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1MQAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1OUAFAPPRH1,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1OUAFAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1OUAFAPPRH2,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1OUAFAPPRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT1OUAFAPPRH3,Test,AMS Oracle T1 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT1OUAFAPPRH3,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT2ADMAPPRH1,Test,AMS Oracle T2 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT2ADMAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT2BATAPPRH1,Test,AMS Oracle T2 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT2BATAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT2DBRH1,Test,Oracle Database Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT2DBRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT2DBRH2,Test,Oracle Database Server,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT2DBRH2,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT2ESBAPPRH1,Test,AMS Oracle T2 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT2ESBAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT2FMWAPPRH1,Test,AMS Oracle T2 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT2FMWAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT2MQAPPRH1,Test,AMS Oracle T2 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT2MQAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGT2OUAFAPPRH1,Test,AMS Oracle T2 Application Stack Member,Red Hat Enterprise Linux 6.10,NZ MIP + Modern Data Platform,FY27,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGT2OUAFAPPRH1,Y,Red Hat Enterprise Linux 6 Server,2,Planned,Lower,Green,,
NZWLGTGENDBRH1,Development,Internal Apps Test Database Server,Red Hat Enterprise Linux 6.10,Further Investigation Required,,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Development,Datacom Data Centre Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGTGENDBRH1,Y,Red Hat Enterprise Linux 6 Server,3,No Plan,Lower,Amber,,"Hunt down NZWLGTGENDBRH1. In theory, this server should not exist. As above, it should have been renamed and replaced with NZWLGTGENDBRH2. Both of these server names are still pingable."
NZWLGTSTMCAPPRH1,Test,stmac application,Red Hat Enterprise Linux 6.10,Integration Modernisation,,Network Isolation,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 6.10,Test,Bluecurrent Wellington,17/May/26,Y,Linux Red Hat Enterprise Server 6.10 (2.6.32-754.50.1.el6.x86_64),NZWLGTSTMCAPPRH1,Y,Red Hat Enterprise Linux 6 Server,3,No Plan,Lower,Amber,,Confirmed by Karl that this is part of Integration Modernisation (MULE replacement)
TEST3SFTPRH01,Test,SFTP Server - Test3,Red Hat Enterprise Linux 6.10,SFTP Upgrade and Migration,FY26 Q3,Monitoring,High,High,Y,In Service,Red Hat Enterprise Linux 9.7,Test,0,17/May/26,N,,TEST3SFTPRH01,Y,Red Hat Enterprise Linux,2,Planned,Lower,Green,,
NZWLGP1OEMRH2,,Oracle Enterprise Management Server,Red Hat Enterprise Linux 7.9,Further Investigation Required,,Monitoring,Medium,Medium,Y,In Service,Red Hat Enterprise Linux 7.9,Production,0,17/May/26,Y,Linux Red Hat Enterprise Server 7.9 (3.10.0-1160.139.1.el7.x86_64),NZWLGP1OEMRH2,Y,Red Hat Enterprise Linux Server,3,No Plan,Critical,Red,"Env mismatch: JSM says 'Production', Architecture says '' - review",Ben Hasler asked Nigel to track this down on the 29th July. It is listed as an Oracle Enterprise management server. Should be covered by Datacom?
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
